800 800
60 (45.44,-73.6352) 
1 (45.27883737007392,-73.71485118489046)
1 (45.501572603274326,-73.7165681354424)
1 (45.37814912333392,-73.29548174476007)
1 (45.380141719211096,-73.49321402358437)
1 (45.39033386852295,-73.4732322585995)
1 (45.2797361932148,-73.45115687041267)
1 (45.25701600218006,-73.35288941171646)
1 (45.74957700751444,-73.57778329440525)
1 (45.26727264767753,-73.74671825048391)
1 (45.66983068332116,-73.51261481474255)
1 (45.453313253054866,-73.34455688732692)
1 (45.5429476876149,-73.28688318268406)
1 (45.715865446720386,-73.7166552954917)
1 (45.52191679065816,-73.68179200608786)
1 (45.650840170232584,-73.40754386513906)
1 (45.344518142735765,-73.60022462762657)
1 (45.54152446322012,-73.39825994867493)
1 (45.593146113212235,-73.29538894173115)
1 (45.61385170166829,-73.46767911907354)
1 (45.34088577117077,-73.73299524382067)
1 (45.42622412859962,-73.4714903556602)
1 (45.27626584182125,-73.28104364067893)
1 (45.67991403408088,-73.27952276475243)
1 (45.32147364745291,-73.32315287135539)
1 (45.29124500396835,-73.56867394211775)
1 (45.57180623818878,-73.27759335365882)
1 (45.26255622919035,-73.35960859774355)
1 (45.58774498214533,-73.37479202698148)
1 (45.72537777571176,-73.61068852711897)
1 (45.665279173629095,-73.40105765593964)
1 (45.506296252787465,-73.34226329719463)
1 (45.694967694458285,-73.45563038146081)
1 (45.68366568972219,-73.65849389006883)
1 (45.59571571212733,-73.5918898572008)
1 (45.36161926333928,-73.66229946028345)
1 (45.57535709338393,-73.52166184994782)
1 (45.2867633924886,-73.62181046140996)
1 (45.626870983932264,-73.35404357885828)
1 (45.47248650553391,-73.3438792373311)
1 (45.71642491822284,-73.61702342427559)
1 (45.675990357741995,-73.54174214815856)
1 (45.557424389145645,-73.5714014889529)
1 (45.39395285800713,-73.54984550692767)
1 (45.6933627975241,-73.57212239731942)
1 (45.504156982357955,-73.5391400948537)
1 (45.33150332909664,-73.46211280286398)
1 (45.28247104165284,-73.42081752855574)
1 (45.47928820222414,-73.69807099282671)
1 (45.26724159354298,-73.39550433510112)
1 (45.43585845653655,-73.60638677464789)
1 (45.32646084695913,-73.60834774756498)
1 (45.58218113454537,-73.35047531538164)
1 (45.30699633552215,-73.60822010821586)
1 (45.69501878772873,-73.35828874628598)
1 (45.30972129363962,-73.28143685017096)
1 (45.68233958746175,-73.61062530979311)
1 (45.43956015912833,-73.63692581477139)
1 (45.700754589237725,-73.32708578220115)
1 (45.325263995320185,-73.26070382901318)
1 (45.56918193806097,-73.70713279731123)
1 (45.29015705014837,-73.4328093669332)
1 (45.73717624465692,-73.48868882513149)
1 (45.282145713331275,-73.30950791480144)
1 (45.30122435803944,-73.67606436364287)
1 (45.5389575447381,-73.71762999306596)
1 (45.68779731582709,-73.36273802446532)
1 (45.47287839099236,-73.48631935437768)
1 (45.63806145308837,-73.63261596873069)
1 (45.40818170128904,-73.35426215190952)
1 (45.53588974674015,-73.56587837056729)
1 (45.593994633812265,-73.33763574543623)
1 (45.418178158527795,-73.40237624325637)
1 (45.345521685091974,-73.52555859718652)
1 (45.694459480559985,-73.42677232717745)
1 (45.73734689346428,-73.585741031164)
1 (45.681421069419294,-73.63522521144709)
1 (45.483962027147165,-73.31332935596994)
1 (45.527170553438424,-73.72339639052207)
1 (45.494718339586306,-73.34060377191153)
1 (45.45995733309703,-73.39991539397008)
1 (45.58307573209246,-73.64423367284971)
1 (45.54654577537095,-73.47816850936226)
1 (45.4433237256938,-73.74021176362847)
1 (45.28654919666621,-73.6323822651878)
1 (45.2818743524787,-73.44438146343428)
1 (45.400772229408254,-73.6214531493326)
1 (45.40477818482673,-73.29863983251617)
1 (45.59397234858438,-73.68583064975458)
1 (45.618290066527834,-73.71944160117228)
1 (45.38543949457706,-73.70899093952112)
1 (45.49511221278973,-73.61614755898154)
1 (45.30440623255654,-73.60564431967478)
1 (45.39536807404342,-73.65205347299735)
1 (45.34153898401412,-73.25379973307177)
1 (45.60841091244241,-73.48060404719162)
1 (45.53262431267175,-73.6271652762203)
1 (45.599247239575725,-73.68333896014259)
1 (45.42605232229302,-73.60809399368371)
1 (45.60165561161268,-73.2645363331259)
1 (45.45181266545279,-73.26938991449796)
1 (45.69900727143398,-73.42031165588234)
1 (45.36645698580967,-73.70576939566755)
1 (45.57334603612332,-73.39709854370068)
1 (45.49584468030608,-73.27262877485617)
1 (45.28346031721909,-73.58598014499701)
1 (45.435477312745505,-73.3509993892458)
1 (45.2534810871749,-73.56525856750012)
1 (45.69684035207681,-73.50317672501917)
1 (45.61496548426169,-73.60394222004813)
1 (45.50740894628657,-73.61349083109914)
1 (45.64747639339934,-73.67349908519317)
1 (45.581838017977134,-73.3230406384914)
1 (45.305344042704164,-73.28426701944737)
1 (45.682344970354514,-73.26594531636147)
1 (45.70159678741,-73.46632992506157)
1 (45.67740681770122,-73.29777120077864)
1 (45.44397359236879,-73.45246180966964)
1 (45.589631708395466,-73.57427329343928)
1 (45.382481769129306,-73.59290856564131)
1 (45.2960279562379,-73.49044594249611)
1 (45.63313937210853,-73.7383203779672)
1 (45.606882433306886,-73.62610760903397)
1 (45.68834210199436,-73.26806562051755)
1 (45.40307281350133,-73.46485016443778)
1 (45.51072075808919,-73.61644992557348)
1 (45.3558770372794,-73.25816362807257)
1 (45.734405719805615,-73.55903233961688)
1 (45.488206229884824,-73.49590282014961)
1 (45.4652910216662,-73.66527324521398)
1 (45.46167582395214,-73.51799257965091)
1 (45.68019098228566,-73.70216674224493)
1 (45.49004284422028,-73.36037413656472)
1 (45.37370864289912,-73.38630317349595)
1 (45.68627552753799,-73.47067512095767)
1 (45.39118546828905,-73.7289755167957)
1 (45.447884839325376,-73.45594180355008)
1 (45.316278119981924,-73.30048610571944)
1 (45.67313570269054,-73.5360019304709)
1 (45.35250840806014,-73.5557284253157)
1 (45.679368975346264,-73.37163270291252)
1 (45.349558574357545,-73.41341144819737)
1 (45.663903586044235,-73.41668828141725)
1 (45.47713489505107,-73.56596205355098)
1 (45.40785135175951,-73.4076970561424)
1 (45.541898058267044,-73.5161839930677)
1 (45.67366560672691,-73.55316938815902)
1 (45.57625996752107,-73.59016992405692)
1 (45.388357647855976,-73.41796166714478)
1 (45.601771979985934,-73.66375591559668)
1 (45.736053590896745,-73.4155234504223)
1 (45.38438074885792,-73.56197571986688)
1 (45.7059273384497,-73.72270948568847)
1 (45.55400342311284,-73.5475154348356)
1 (45.454533818976714,-73.318069288614)
1 (45.656674643710545,-73.50508652826583)
1 (45.54517968306319,-73.71513202998703)
1 (45.54394384594354,-73.35392891586103)
1 (45.72120715572686,-73.31718533495373)
1 (45.48125191670926,-73.38032301980334)
1 (45.35492990710126,-73.65940171905346)
1 (45.47469202297725,-73.57603330172428)
1 (45.589448154782644,-73.62789704875698)
1 (45.57386056518095,-73.69702336405848)
1 (45.45668339934158,-73.55341096244182)
1 (45.30742939793856,-73.61957577627442)
1 (45.41171153288831,-73.36977938275952)
1 (45.447621801459995,-73.66811787552228)
1 (45.27083637033134,-73.30422490528044)
1 (45.479950138770164,-73.42059752735425)
1 (45.47883391917872,-73.32772143960037)
1 (45.475374059927276,-73.56317107562624)
1 (45.45941082209521,-73.33929457562728)
1 (45.5234637920337,-73.66625842585195)
1 (45.52215910710064,-73.28810000123254)
1 (45.48720390025758,-73.28868827976629)
1 (45.409152083753995,-73.65147752204196)
1 (45.58274879364625,-73.5856996428446)
1 (45.5648149862731,-73.38590882823468)
1 (45.670741695930744,-73.59998338417526)
1 (45.6038170726585,-73.65091258037128)
1 (45.669735005335845,-73.65274089738159)
1 (45.733470072678635,-73.27339074334405)
1 (45.66680042360731,-73.72390479385497)
1 (45.559481300944576,-73.57179589117078)
1 (45.605593202192885,-73.41720931616632)
1 (45.266898034277254,-73.29571920619419)
1 (45.37793552065533,-73.54671649052104)
1 (45.621692835542675,-73.55710481048418)
1 (45.73140987069052,-73.55669677277244)
1 (45.582678134160254,-73.73427630044498)
1 (45.63250407800022,-73.39643086512227)
1 (45.548301279976656,-73.41931673482041)
1 (45.592525320782,-73.61554259452093)
1 (45.38835982069747,-73.55307414203736)
1 (45.47180140636479,-73.32389042937152)
1 (45.42678997480931,-73.45016967304014)
1 (45.426613184600704,-73.27283842642338)
1 (45.448419487378175,-73.45886633546266)
1 (45.45285303072995,-73.66189513143254)
1 (45.59993942918998,-73.52751145560593)
1 (45.410579577317044,-73.35625220364723)
1 (45.74333768767845,-73.46049663206449)
1 (45.48444050498557,-73.51667220766087)
1 (45.39865026604338,-73.64228441018301)
1 (45.74635994424921,-73.6934681671951)
1 (45.382124756874596,-73.48803133903257)
1 (45.33893883710659,-73.72098547808218)
1 (45.605753615124016,-73.34369242012171)
1 (45.29069164998978,-73.26803957250527)
1 (45.25462310750928,-73.50722275604093)
1 (45.60754387584555,-73.65318085731882)
1 (45.69963726255217,-73.47559725813838)
1 (45.5589407024489,-73.52145128271042)
1 (45.53491418395728,-73.4398501397609)
1 (45.4914677063217,-73.70146507432956)
1 (45.55151556928713,-73.45219101114304)
1 (45.55806038817931,-73.51818882548135)
1 (45.27215839867694,-73.57548527576121)
1 (45.446680178255136,-73.52771439129984)
1 (45.37517127716367,-73.6959915146078)
1 (45.528760163455175,-73.56561094500503)
1 (45.43019589030818,-73.53522950447726)
1 (45.32477471480902,-73.66011022936574)
1 (45.3529974570914,-73.73620764595162)
1 (45.30196292392194,-73.25542257447606)
1 (45.36223654913726,-73.72296906097017)
1 (45.277536507161805,-73.31889858464115)
1 (45.48716749825089,-73.34052140651156)
1 (45.59962868063948,-73.26854491419856)
1 (45.33196721341943,-73.57469550437693)
1 (45.31779123904722,-73.25457010870413)
1 (45.34976153817244,-73.42833358569662)
1 (45.73502283611634,-73.66017969341459)
1 (45.31740419523229,-73.2914383985206)
1 (45.55411240540584,-73.25275766623095)
1 (45.53067720645445,-73.38851992571837)
1 (45.292507121684956,-73.71686429723104)
1 (45.45881933364869,-73.61635671783367)
1 (45.741965484869915,-73.33514837431916)
1 (45.70715296652314,-73.29974468107754)
1 (45.491931468046644,-73.3523148553871)
1 (45.637067663121755,-73.59153622574524)
1 (45.41886690729073,-73.56070685795726)
1 (45.383732147982876,-73.42637845022239)
1 (45.56770466544538,-73.3838539556082)
1 (45.29364479428788,-73.60503943006994)
1 (45.516136131909505,-73.70650667030264)
1 (45.476495726715946,-73.73806701337057)
1 (45.61762233489365,-73.40622000005729)
1 (45.72880219566312,-73.41375516510907)
1 (45.46481878855702,-73.48246680966595)
1 (45.54039205331463,-73.57599831840595)
1 (45.501529839666475,-73.35455499056378)
1 (45.73904836540544,-73.70259458754124)
1 (45.438359141603584,-73.30929000246681)
1 (45.56349164288372,-73.46391427061107)
1 (45.494898744168786,-73.72336769036087)
1 (45.58036427160806,-73.61558048307587)
1 (45.4995999147262,-73.56389992620272)
1 (45.37699516346623,-73.43691422600264)
1 (45.52739463193144,-73.28326896663762)
1 (45.36846086775712,-73.56937672682628)
1 (45.54468765053288,-73.57167394856401)
1 (45.35482261319619,-73.63609719793358)
1 (45.46151446143254,-73.51227628026312)
1 (45.65240707299473,-73.53480489495851)
1 (45.56146169153979,-73.4997685008573)
1 (45.7016120506737,-73.2920894941896)
1 (45.49137175206194,-73.33348407856052)
1 (45.52295622871164,-73.34689468803347)
1 (45.34490497516759,-73.6808337848047)
1 (45.252955827688034,-73.59550477561736)
1 (45.36670749207814,-73.6258970537626)
1 (45.7418990672081,-73.47901527163191)
1 (45.43723466592259,-73.27141480794695)
1 (45.336702446640146,-73.32738328704005)
1 (45.272205019897385,-73.35022316831338)
1 (45.503771595102414,-73.59163426546037)
1 (45.68521083605578,-73.52433551004738)
1 (45.36915227863768,-73.49765730737656)
1 (45.317187057411374,-73.50642315260207)
1 (45.566245662730324,-73.54125123693308)
1 (45.432241266294,-73.32936300925269)
1 (45.48497520128389,-73.61468956599471)
1 (45.71577283002382,-73.51481361098735)
1 (45.610530640841176,-73.41005273217647)
1 (45.48786056676034,-73.55144865962689)
1 (45.624678231946085,-73.58393145242292)
1 (45.36257364209209,-73.48752038581888)
1 (45.318114121120196,-73.4918355477146)
1 (45.64216161144714,-73.57084296744067)
1 (45.6284514353172,-73.60874809800141)
1 (45.63400480893639,-73.73207913277477)
1 (45.27516991655662,-73.54474519010014)
1 (45.61775756458964,-73.3043810913605)
1 (45.51021997616506,-73.3414569964097)
1 (45.37029219861898,-73.7039800068164)
1 (45.44096142347331,-73.49637645399213)
1 (45.47685250347954,-73.36223594039168)
1 (45.71073074881985,-73.4076271783219)
1 (45.61825152679958,-73.49995338600223)
1 (45.541568401445446,-73.661782846153)
1 (45.62599882293435,-73.36943558354419)
1 (45.253501517624365,-73.30168565555502)
1 (45.339918430626675,-73.35879325306543)
1 (45.37526543036431,-73.40994190135005)
1 (45.68611953399503,-73.35644207820756)
1 (45.35246060874201,-73.52687830269883)
1 (45.4171074612458,-73.51151553080031)
1 (45.64088009714846,-73.5892231362603)
1 (45.62037356383693,-73.49808830081845)
1 (45.645105612813026,-73.72763162709705)
1 (45.40697826302831,-73.5976478011729)
1 (45.5254590111709,-73.3974055793306)
1 (45.637442247697436,-73.3551699277856)
1 (45.3500087998526,-73.43736273300371)
1 (45.628686874210615,-73.73944761851897)
1 (45.4125698387402,-73.2567917307251)
1 (45.51281504157429,-73.64798921358536)
1 (45.27249773940885,-73.43978406117002)
1 (45.28620037606933,-73.74084612614142)
1 (45.69756743707768,-73.62996486423523)
1 (45.59565258316818,-73.46614768046527)
1 (45.70733903971589,-73.61674988558525)
1 (45.45735303766388,-73.25291384766908)
1 (45.32115219244711,-73.58673643960253)
1 (45.39380543157186,-73.69388431078933)
1 (45.41225332260576,-73.53069146527648)
1 (45.404221941128,-73.62264567913849)
1 (45.2575487881652,-73.30783066006367)
1 (45.254566244375845,-73.3052563825394)
1 (45.45108975397096,-73.36468763545044)
1 (45.2849004468834,-73.51686172591783)
1 (45.318633414017114,-73.58585291749162)
1 (45.28373388288031,-73.55845968429287)
1 (45.330487982045724,-73.71821785881694)
1 (45.47174737572348,-73.2880210290614)
1 (45.260337564574215,-73.25908907426029)
1 (45.27056734936964,-73.49358497079413)
1 (45.47885588897963,-73.63164445059654)
1 (45.30619019635988,-73.42374506735726)
1 (45.30265665027982,-73.3886823726352)
1 (45.51120767833545,-73.51310759288047)
1 (45.74149100424618,-73.58747093472184)
1 (45.74516030772134,-73.29684775555643)
1 (45.29959137135979,-73.36473498414776)
1 (45.54814612891411,-73.69940720385803)
1 (45.690673929480745,-73.61142346452756)
1 (45.47923847735492,-73.30766895543138)
1 (45.42035018645705,-73.50188097112917)
1 (45.46831648377492,-73.39861427119752)
1 (45.67456182073086,-73.4714020083935)
1 (45.72758864815359,-73.38550834308671)
1 (45.32814076271711,-73.55987750522333)
1 (45.52738981290079,-73.47508046328345)
1 (45.65370997596463,-73.34734837147114)
1 (45.53975820828795,-73.69095643682833)
2600 2600
101 (45.5,-73.5)
1 (45.67780657664863,-73.25116354056709)
1 (45.55946443240371,-73.69247065736529)
1 (45.669593541082605,-73.74257628843577)
1 (45.701567145012106,-73.28726097021554)
1 (45.556947040570186,-73.48540741470548)
1 (45.25899965129332,-73.32371738394782)
1 (45.73703821060827,-73.3732276465639)
1 (45.73743702487662,-73.66765499968893)
1 (45.732644524450954,-73.36827228792944)
1 (45.64657544799182,-73.4813496273773)
1 (45.66575342788015,-73.50404092257406)
1 (45.665678272517354,-73.69949921123042)
1 (45.4140964250186,-73.37819586314421)
1 (45.66295864483071,-73.53081572246366)
1 (45.46246969992332,-73.539308554772)
1 (45.61019573663487,-73.66199013803745)
1 (45.429935690566104,-73.65098352232295)
1 (45.286032496431815,-73.62544088849805)
1 (45.613863178576494,-73.2812451778318)
1 (45.65407854978895,-73.3112993699986)
1 (45.6422518519241,-73.61380282880128)
1 (45.43524275882071,-73.35750403028435)
1 (45.466900566023455,-73.31091520280957)
1 (45.667645510648335,-73.63966725265547)
1 (45.461716760961785,-73.6750558517446)
1 (45.46201190527251,-73.30454769955536)
1 (45.31282777063512,-73.65843652183179)
1 (45.71562253025914,-73.74750326209124)
1 (45.70014318783881,-73.65567596016662)
1 (45.74369938167037,-73.62521806671502)
1 (45.47363046155092,-73.3855071217413)
1 (45.62353030053953,-73.42028982652467)
1 (45.621804459895884,-73.52239609709433)
1 (45.52368612384563,-73.73393178078828)
1 (45.314794784049354,-73.57830174674966)
1 (45.408360248213064,-73.37708649763692)
1 (45.6798431406695,-73.35853534889605)
1 (45.26516155378027,-73.45866666810272)
1 (45.7331960823878,-73.62378510008135)
1 (45.40361698081715,-73.53243129083904)
1 (45.549096980347294,-73.38285069743296)
1 (45.411191034996534,-73.46117302464884)
1 (45.2939440970525,-73.51748883269165)
1 (45.533805336427726,-73.48843622789207)
1 (45.69167024418291,-73.70200082593031)
1 (45.56864194068468,-73.57390245636864)
1 (45.31501242721948,-73.32579896178083)
1 (45.31844006119746,-73.34887368874652)
1 (45.316578482548785,-73.35716890720684)
1 (45.258546564488014,-73.58295113780328)
1 (45.32348067693836,-73.30080065798714)
1 (45.31065640143712,-73.32205075129934)
1 (45.71979494227801,-73.60039115202635)
1 (45.500479882209916,-73.361314335316)
1 (45.43221715407114,-73.52072727867461)
1 (45.30049958590874,-73.45426816691327)
1 (45.61602670905065,-73.7111380350339)
1 (45.62353030868033,-73.63174910629937)
1 (45.3108304771679,-73.30406058992362)
1 (45.73797142918083,-73.71066095295646)
1 (45.6985487469482,-73.53869511387676)
1 (45.3214416629373,-73.5135419796048)
1 (45.54971803009188,-73.52032886465017)
1 (45.455912124846456,-73.49521741784518)
1 (45.28842380944737,-73.33089032544456)
1 (45.59450431832321,-73.38247859938386)
1 (45.34103951899332,-73.29564998945172)
1 (45.39779535887177,-73.57677361102337)
1 (45.55943663012096,-73.2847144475862)
1 (45.34577381398088,-73.44831208915068)
1 (45.52544362732357,-73.48606620427572)
1 (45.680514905007875,-73.26277989042744)
1 (45.450070177327,-73.62938192688765)
1 (45.52419498258057,-73.32902715923305)
1 (45.678376042115495,-73.66671754417854)
1 (45.4472407692038,-73.53763664829866)
1 (45.498852429582826,-73.42737864538424)
1 (45.332209628619125,-73.27619661383874)
1 (45.53479692545283,-73.25990073020567)
1 (45.590423056129275,-73.25739598847436)
1 (45.464401489432916,-73.65404363680175)
1 (45.640426121321205,-73.58072737403688)
1 (45.6761358175069,-73.30006048552869)
1 (45.55002168062447,-73.36762621348136)
1 (45.71649743662764,-73.49123167910223)
1 (45.3769287241426,-73.56329275111206)
1 (45.528312331911025,-73.70876002014423)
1 (45.51703999660255,-73.48623608220056)
1 (45.509508846455304,-73.6456034870821)
1 (45.28380507333406,-73.42874782209519)
1 (45.344650566520855,-73.32767771615019)
1 (45.49744052955216,-73.56805561819516)
1 (45.374502139351264,-73.37709055473238)
1 (45.558469743049805,-73.63882492877644)
1 (45.47251551209994,-73.33267679043206)
1 (45.31652091124263,-73.74297038849325)
1 (45.4913620415292,-73.29808132268009)
1 (45.52236205241414,-73.33240596946499)
1 (45.3274994751111,-73.52699476933377)
1 (45.268828169251506,-73.29440617075305)
1 (45.52725099120734,-73.37887576139919)
1 (45.58459627182227,-73.69766857558099)
1 (45.623986629514754,-73.38659982409246)
1 (45.74368942148844,-73.61996076841395)
1 (45.5527359452634,-73.4699551013888)
1 (45.39314244721893,-73.57540288332342)
1 (45.535923940997485,-73.60576063397366)
1 (45.28143714696135,-73.39097993273971)
1 (45.271910409715275,-73.52661358121553)
1 (45.69111572768452,-73.44779582486069)
1 (45.586626470498615,-73.26587679980878)
1 (45.640407265498254,-73.50287433389661)
1 (45.427840033377116,-73.5964992165635)
1 (45.520752493303604,-73.34197987653019)
1 (45.691445289282186,-73.62561654565236)
1 (45.57978791827389,-73.28297423822391)
1 (45.36965982278113,-73.5056103010015)
1 (45.54265148529506,-73.55264304320795)
1 (45.40212591183928,-73.40540886164594)
1 (45.68839726753609,-73.29771903128002)
1 (45.392651015966315,-73.55329461553403)
1 (45.36285780697033,-73.46299698280652)
1 (45.52668575826487,-73.31433651660682)
1 (45.71446836011814,-73.47597821029431)
1 (45.587625915368264,-73.40179825508561)
1 (45.38536813533496,-73.61840025495317)
1 (45.42363831025017,-73.4424772834186)
1 (45.47651924274671,-73.64030096698112)
1 (45.560948616828405,-73.72091078448996)
1 (45.33263522424116,-73.58193333331138)
1 (45.394392505862456,-73.51673986162099)
1 (45.560386310401704,-73.41289104022547)
1 (45.5115199163304,-73.52325379977118)
1 (45.701649759510055,-73.47622249598228)
1 (45.722655175088924,-73.39324174714346)
1 (45.63249920612292,-73.33810376960734)
1 (45.27605443951544,-73.50075963336576)
1 (45.54817772516236,-73.4908093638345)
1 (45.5346648191727,-73.53427551495393)
1 (45.32447523489331,-73.43826227141768)
1 (45.57897807814386,-73.54788711143439)
1 (45.61673145666004,-73.50936292180243)
1 (45.279084867268494,-73.5929107459405)
1 (45.26911154666369,-73.2945896271548)
1 (45.34827401324799,-73.53212128445158)
1 (45.458852409912716,-73.38603099044144)
1 (45.25038437444456,-73.60327827613898)
1 (45.49285306977532,-73.62005380871419)
1 (45.58360524150566,-73.74730389393586)
1 (45.30728388528119,-73.27522791945034)
1 (45.70453449199874,-73.64958366807353)
1 (45.494814483372814,-73.66592240534877)
1 (45.38804193300808,-73.36034164924543)
1 (45.59861170180424,-73.29415554122991)
1 (45.74084867784071,-73.26189689897254)
1 (45.467434161634806,-73.6788239250416)
1 (45.399721548127324,-73.53683893201561)
1 (45.661951057155896,-73.67235401090183)
1 (45.74879485497348,-73.66176489368112)
1 (45.7388384864485,-73.50011250067466)
1 (45.4847700900859,-73.3062020058884)
1 (45.71625761698793,-73.41757967888994)
1 (45.3436076236621,-73.3556940870222)
1 (45.64199430861857,-73.27433306793354)
1 (45.67781228309802,-73.60176154655085)
1 (45.44384109524191,-73.4023066485652)
1 (45.33952860493746,-73.44954964715258)
1 (45.640727987764016,-73.60858361063873)
1 (45.48139913091599,-73.28646032013792)
1 (45.53265918654632,-73.6501490719244)
1 (45.43450314395762,-73.43191832487399)
1 (45.66768895118103,-73.39957161122346)
1 (45.26068078348709,-73.3496529255997)
1 (45.7049702799212,-73.47650090658392)
1 (45.40516141734705,-73.54948183239188)
1 (45.25433603418748,-73.42016140263189)
1 (45.594652887157835,-73.33556452967115)
1 (45.37492293038974,-73.51269009392674)
1 (45.7359120277499,-73.27244759354706)
1 (45.658024516149936,-73.6322093917194)
1 (45.57030456592275,-73.43895529770296)
1 (45.70266009676141,-73.51794404187149)
1 (45.730976409114334,-73.72308369823259)
1 (45.31627225254454,-73.56748401061625)
1 (45.630996093670745,-73.57853766133319)
1 (45.43751658039698,-73.25846324171634)
1 (45.283191839096816,-73.31540502595567)
1 (45.5832828060769,-73.49346719849855)
1 (45.71539450550913,-73.6336930033235)
1 (45.567887460878296,-73.60789990625204)
1 (45.5984115944449,-73.72905733027854)
1 (45.32880380957422,-73.4558344527666)
1 (45.54829512243652,-73.40503486701222)
1 (45.42034585535974,-73.39853855172892)
1 (45.29932995261507,-73.71544627517541)
1 (45.6043986238622,-73.66441009933794)
1 (45.56965718901599,-73.7343654532473)
1 (45.47558807692114,-73.42747527303669)
1 (45.45756051215442,-73.60915810700585)
1 (45.707209534516004,-73.56439489183575)
1 (45.613181847914156,-73.59457227755809)
1 (45.293784321258556,-73.39709280231986)
1 (45.727795739993496,-73.29271900902103)
1 (45.59629039796074,-73.309662645259)
1 (45.57076032685728,-73.335011932968)
1 (45.566912923505136,-73.44412796255158)
1 (45.38287594623301,-73.73773997484018)
1 (45.74158716335004,-73.72992280902426)
1 (45.40412072205758,-73.64292776042672)
1 (45.440656474705975,-73.28662865471783)
1 (45.67359585161675,-73.62049401312045)
1 (45.61064403541189,-73.25854597181285)
1 (45.49000136169421,-73.65644832383535)
1 (45.37343779131033,-73.39309697895898)
1 (45.56207677318481,-73.38497260553898)
1 (45.62311376056965,-73.66284898332107)
1 (45.41017888390775,-73.53971356987385)
1 (45.425173867017726,-73.45311565439718)
1 (45.50253265662927,-73.50146833834404)
1 (45.52814986485734,-73.29363673377611)
1 (45.42267918798115,-73.70567561803325)
1 (45.49332605738628,-73.30375436407404)
1 (45.568257992022396,-73.54373044705468)
1 (45.284759165749506,-73.4457974067003)
1 (45.475499404342024,-73.74712084872041)
1 (45.63882440674762,-73.34105306679247)
1 (45.34866580046137,-73.58274030259919)
1 (45.65019265092067,-73.29674798874146)
1 (45.74916893402566,-73.51146042482745)
1 (45.26944450567261,-73.32087904012266)
1 (45.66520379162942,-73.27015361199949)
1 (45.30645266234953,-73.26452707929471)
1 (45.33947772931072,-73.62983597796382)
1 (45.57321474755389,-73.32845463303643)
1 (45.27997683138866,-73.35945629111103)
1 (45.4799948475866,-73.5023318098105)
1 (45.31669995929942,-73.68608726319206)
1 (45.71943231667016,-73.57085247380309)
1 (45.3959038156792,-73.28788071174516)
1 (45.634702678765024,-73.62129563611728)
1 (45.52264114647215,-73.58612888971962)
1 (45.469865854529345,-73.52175518239187)
1 (45.372237063762846,-73.31712950792593)
1 (45.443212870787775,-73.60830401109425)
1 (45.59183691426332,-73.56328273394737)
1 (45.467723118229124,-73.322776254783)
1 (45.704272479822784,-73.60595346106913)
1 (45.3666697265138,-73.2806448537594)
1 (45.30823146521598,-73.63011314605268)
1 (45.59696160370889,-73.72063915725633)
1 (45.44107842831953,-73.4626305855058)
1 (45.29798655783722,-73.4942904756561)
1 (45.53366394093766,-73.66231162728785)
1 (45.429520272543044,-73.69451147314842)
1 (45.34007153113638,-73.40039325078739)
1 (45.348692340867075,-73.6976080854947)
1 (45.569490749887564,-73.67517799603976)
1 (45.40305063454657,-73.30279089800315)
1 (45.68226758895966,-73.49385004868775)
1 (45.48444168332133,-73.29729556645988)
1 (45.437672017942845,-73.72824485021674)
1 (45.49672514230337,-73.65364007089292)
1 (45.29703557788191,-73.40944956543946)
1 (45.339266258617435,-73.67833950930437)
1 (45.69265024404869,-73.268592213623)
1 (45.2977011908666,-73.2785669819564)
1 (45.47018306150913,-73.35803265163548)
1 (45.66364575124535,-73.59479231112395)
1 (45.50034940158174,-73.59839923721705)
1 (45.475818637763346,-73.56334801471019)
1 (45.53420088387859,-73.59252026465208)
1 (45.486476628092916,-73.52316526705502)
1 (45.34562237029106,-73.52727986899113)
1 (45.309109214783895,-73.26559027004808)
1 (45.56449555424862,-73.44878362876089)
1 (45.6960166648255,-73.4452344908664)
1 (45.354475189040784,-73.64494927768648)
1 (45.52769575041318,-73.52323031616719)
1 (45.73043718534185,-73.30274372445618)
1 (45.369883411604604,-73.402056528357)
1 (45.34239586148164,-73.52476798505978)
1 (45.36865944399971,-73.63326593310337)
1 (45.47505134767443,-73.69174678138448)
1 (45.30918479174295,-73.53599060011379)
1 (45.32511608939148,-73.54371061485004)
1 (45.35945328560796,-73.25501800729107)
1 (45.322182720179114,-73.72326290933756)
1 (45.35685987974504,-73.71252431891521)
1 (45.35313404206644,-73.37930598591858)
1 (45.472439739715085,-73.56721928266576)
1 (45.73495888857897,-73.26895445601399)
1 (45.705307981550156,-73.68869969539986)
1 (45.65632614534724,-73.61909557319541)
1 (45.41813076807147,-73.28322690393206)
1 (45.57438228720346,-73.31716125953768)
1 (45.5233842310649,-73.66993638531905)
1 (45.70997621845449,-73.29315714958643)
1 (45.469708477524,-73.30365556654907)
1 (45.33187843081286,-73.73184938816452)
1 (45.35783971776877,-73.47204907022427)
1 (45.4585498043817,-73.51524044248474)
1 (45.336404315384755,-73.66072830963887)
1 (45.434628540156,-73.54107049418681)
1 (45.38928434085341,-73.38025574236866)
1 (45.5585421896579,-73.29306180803033)
1 (45.72831506461624,-73.28364154657747)
1 (45.54751483076201,-73.25297844524727)
1 (45.74775048291023,-73.67197387135548)
